,Datum,Weekday,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Warengruppe,Umsatz,KielerWoche,AverageTemp,Temp_Deviation,Temp_vs_Avg,Weather_Impression,Is_Holiday
10230,2012-01-22,Sunday,6.0,3.79,12,21.0,,Brötchen,,0.0,2.522539682539682,1.2674603174603174,Slightly warmer,okay,0
10231,2012-01-22,Sunday,6.0,3.79,12,21.0,,Croissant,,0.0,2.522539682539682,1.2674603174603174,Slightly warmer,okay,0
10232,2012-01-22,Sunday,6.0,3.79,12,21.0,,Konditorei,,0.0,2.522539682539682,1.2674603174603174,Slightly warmer,okay,0
10233,2012-01-22,Sunday,6.0,3.79,12,21.0,,Kuchen,,0.0,2.522539682539682,1.2674603174603174,Slightly warmer,okay,0
10234,2012-01-22,Sunday,6.0,3.79,12,21.0,,Saisonbrot,,0.0,2.522539682539682,1.2674603174603174,Slightly warmer,okay,0
21,2012-01-22,Sunday,6.0,3.79,12,21.0,,,,0.0,2.522539682539682,1.2674603174603174,Slightly warmer,okay,0
10235,2012-01-23,Monday,5.0,2.21,4,10.0,,Brot,,0.0,2.1352380952380954,0.0747619047619045,Normal,good,0
10236,2012-01-23,Monday,5.0,2.21,4,10.0,,Brötchen,,0.0,2.1352380952380954,0.0747619047619045,Normal,good,0
10237,2012-01-23,Monday,5.0,2.21,4,10.0,,Croissant,,0.0,2.1352380952380954,0.0747619047619045,Normal,good,0
10238,2012-01-23,Monday,5.0,2.21,4,10.0,,Konditorei,,0.0,2.1352380952380954,0.0747619047619045,Normal,good,0
10239,2012-01-23,Monday,5.0,2.21,4,10.0,,Kuchen,,0.0,2.1352380952380954,0.0747619047619045,Normal,good,0
10240,2012-01-23,Monday,5.0,2.21,4,10.0,,Saisonbrot,,0.0,2.1352380952380954,0.0747619047619045,Normal,good,0
22,2012-01-23,Monday,5.0,2.21,4,10.0,,,,0.0,2.1352380952380954,0.0747619047619045,Normal,good,0
10241,2012-01-24,Tuesday,3.0,1.76,6,0.0,,Brot,,0.0,2.1352380952380954,-0.3752380952380953,Normal,very good,0
10242,2012-01-24,Tuesday,3.0,1.76,6,0.0,,Brötchen,,0.0,2.1352380952380954,-0.3752380952380953,Normal,very good,0
10243,2012-01-24,Tuesday,3.0,1.76,6,0.0,,Croissant,,0.0,2.1352380952380954,-0.3752380952380953,Normal,very good,0
10244,2012-01-24,Tuesday,3.0,1.76,6,0.0,,Konditorei,,0.0,2.1352380952380954,-0.3752380952380953,Normal,very good,0
10245,2012-01-24,Tuesday,3.0,1.76,6,0.0,,Kuchen,,0.0,2.1352380952380954,-0.3752380952380953,Normal,very good,0
10246,2012-01-24,Tuesday,3.0,1.76,6,0.0,,Saisonbrot,,0.0,2.1352380952380954,-0.3752380952380953,Normal,very good,0
23,2012-01-24,Tuesday,3.0,1.76,6,0.0,,,,0.0,2.1352380952380954,-0.3752380952380953,Normal,very good,0
10247,2012-01-25,Wednesday,3.0,-0.19,8,0.0,,Brot,,0.0,2.1352380952380954,-2.325238095238096,Significantly colder,very good,0
10248,2012-01-25,Wednesday,3.0,-0.19,8,0.0,,Brötchen,,0.0,2.1352380952380954,-2.325238095238096,Significantly colder,very good,0
10249,2012-01-25,Wednesday,3.0,-0.19,8,0.0,,Croissant,,0.0,2.1352380952380954,-2.325238095238096,Significantly colder,very good,0
10250,2012-01-25,Wednesday,3.0,-0.19,8,0.0,,Konditorei,,0.0,2.1352380952380954,-2.325238095238096,Significantly colder,very good,0
10251,2012-01-25,Wednesday,3.0,-0.19,8,0.0,,Kuchen,,0.0,2.1352380952380954,-2.325238095238096,Significantly colder,very good,0
10252,2012-01-25,Wednesday,3.0,-0.19,8,0.0,,Saisonbrot,,0.0,2.1352380952380954,-2.325238095238096,Significantly colder,very good,0
24,2012-01-25,Wednesday,3.0,-0.19,8,0.0,,,,0.0,2.1352380952380954,-2.325238095238096,Significantly colder,very good,0
10253,2012-01-26,Thursday,2.0,0.36,12,0.0,,Brot,,0.0,2.1352380952380954,-1.7752380952380955,Significantly colder,very good,0
10254,2012-01-26,Thursday,2.0,0.36,12,0.0,,Brötchen,,0.0,2.1352380952380954,-1.7752380952380955,Significantly colder,very good,0
10255,2012-01-26,Thursday,2.0,0.36,12,0.0,,Croissant,,0.0,2.1352380952380954,-1.7752380952380955,Significantly colder,very good,0
10256,2012-01-26,Thursday,2.0,0.36,12,0.0,,Konditorei,,0.0,2.1352380952380954,-1.7752380952380955,Significantly colder,very good,0
10257,2012-01-26,Thursday,2.0,0.36,12,0.0,,Kuchen,,0.0,2.1352380952380954,-1.7752380952380955,Significantly colder,very good,0
10258,2012-01-26,Thursday,2.0,0.36,12,0.0,,Saisonbrot,,0.0,2.1352380952380954,-1.7752380952380955,Significantly colder,very good,0
25,2012-01-26,Thursday,2.0,0.36,12,0.0,,,,0.0,2.1352380952380954,-1.7752380952380955,Significantly colder,very good,0
10259,2012-01-27,Friday,8.0,-1.0,10,71.0,,Brot,,0.0,2.1352380952380954,-3.1352380952380954,Significantly colder,bad,0
10260,2012-01-27,Friday,8.0,-1.0,10,71.0,,Brötchen,,0.0,2.1352380952380954,-3.1352380952380954,Significantly colder,bad,0
10261,2012-01-27,Friday,8.0,-1.0,10,71.0,,Croissant,,0.0,2.1352380952380954,-3.1352380952380954,Significantly colder,bad,0
10262,2012-01-27,Friday,8.0,-1.0,10,71.0,,Konditorei,,0.0,2.1352380952380954,-3.1352380952380954,Significantly colder,bad,0
10263,2012-01-27,Friday,8.0,-1.0,10,71.0,,Kuchen,,0.0,2.1352380952380954,-3.1352380952380954,Significantly colder,bad,0
10264,2012-01-27,Friday,8.0,-1.0,10,71.0,,Saisonbrot,,0.0,2.1352380952380954,-3.1352380952380954,Significantly colder,bad,0
26,2012-01-27,Friday,8.0,-1.0,10,71.0,,,,0.0,2.1352380952380954,-3.1352380952380954,Significantly colder,bad,0
10265,2012-01-28,Saturday,6.0,-1.39,10,10.0,,Brot,,0.0,2.1352380952380954,-3.5252380952380955,Significantly colder,good,0
10266,2012-01-28,Saturday,6.0,-1.39,10,10.0,,Brötchen,,0.0,2.1352380952380954,-3.5252380952380955,Significantly colder,good,0
10267,2012-01-28,Saturday,6.0,-1.39,10,10.0,,Croissant,,0.0,2.1352380952380954,-3.5252380952380955,Significantly colder,good,0
10268,2012-01-28,Saturday,6.0,-1.39,10,10.0,,Konditorei,,0.0,2.1352380952380954,-3.5252380952380955,Significantly colder,good,0
10269,2012-01-28,Saturday,6.0,-1.39,10,10.0,,Kuchen,,0.0,2.1352380952380954,-3.5252380952380955,Significantly colder,good,0
10270,2012-01-28,Saturday,6.0,-1.39,10,10.0,,Saisonbrot,,0.0,2.1352380952380954,-3.5252380952380955,Significantly colder,good,0
27,2012-01-28,Saturday,6.0,-1.39,10,10.0,,,,0.0,2.1352380952380954,-3.5252380952380955,Significantly colder,good,0
10271,2012-01-29,Sunday,7.0,-3.16,8,71.0,,Brot,,0.0,2.1352380952380954,-5.295238095238096,Significantly colder,bad,0
10272,2012-01-29,Sunday,7.0,-3.16,8,71.0,,Brötchen,,0.0,2.1352380952380954,-5.295238095238096,Significantly colder,bad,0
