Datum,Weekday,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Warengruppe,Umsatz,KielerWoche,Weather_Category,Weather_Category_Wind_Adjusted,Wind_Downgrade_Count
2012-02-15,Wednesday,1.0,4.86,18,,,,,,Unknown,Unknown,0
2012-02-16,Thursday,7.0,2.96,10,61.0,,,,,Rain,Rain,0
2012-02-17,Friday,5.0,5.56,14,,,,,,Unknown,Unknown,0
2012-02-18,Saturday,8.0,6.18,14,61.0,,,,,Rain,Rain,0
2012-02-19,Sunday,4.0,4.2,18,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-02-20,Monday,5.0,4.11,14,,,,,,Unknown,Unknown,0
2012-02-21,Tuesday,8.0,4.95,14,58.0,,,,,Rain,Rain,0
2012-02-22,Wednesday,7.0,7.18,18,51.0,,,,,Rain,Rain,0
2012-02-23,Thursday,6.0,8.41,18,,,,,,Unknown,Unknown,0
2012-02-24,Friday,7.0,8.35,19,20.0,,,,,Moderate,Moderate,0
2012-02-25,Saturday,6.0,6.52,19,61.0,,,,,Rain,Rain,0
2012-02-26,Sunday,1.0,4.68,8,,,,,,Unknown,Unknown,0
2012-02-27,Monday,8.0,3.72,12,61.0,,,,,Rain,Rain,0
2012-02-28,Tuesday,8.0,7.68,14,51.0,,,,,Rain,Rain,0
2012-02-29,Wednesday,8.0,7.78,10,47.0,,,,,Extreme Weather,Extreme Weather,0
2012-03-01,Thursday,6.0,7.62,12,43.0,,,,,Rain,Rain,0
2012-03-02,Friday,7.0,5.91,6,28.0,,,,,Cold / Snow,Cold / Snow,0
2012-03-03,Saturday,5.0,7.04,14,,,,,,Unknown,Unknown,0
2012-03-04,Sunday,7.0,4.68,8,,,,,,Unknown,Unknown,0
2012-03-05,Monday,7.0,4.88,10,,,,,,Unknown,Unknown,0
2012-03-06,Tuesday,4.0,4.51,10,,,,,,Unknown,Unknown,0
2012-03-07,Wednesday,7.0,4.05,10,61.0,,,,,Rain,Rain,0
2012-03-08,Thursday,2.0,7.51,14,,,,,,Unknown,Unknown,0
2012-03-09,Friday,8.0,7.82,14,10.0,,,,,Moderate,Moderate,0
2012-03-10,Saturday,6.0,8.7,19,10.0,,,,,Moderate,Moderate,0
2012-03-11,Sunday,6.0,8.95,14,,,,,,Unknown,Unknown,0
2012-03-12,Monday,5.0,9.01,18,,,,,,Unknown,Unknown,0
2012-03-13,Tuesday,6.0,9.95,16,1.0,,,,,Good,Good,0
2012-03-14,Wednesday,7.0,7.79,10,,,,,,Unknown,Unknown,0
2012-03-15,Thursday,6.0,7.4,8,,,,,,Unknown,Unknown,0
2012-03-16,Friday,3.0,12.04,14,10.0,,,,,Moderate,Moderate,0
2012-03-17,Saturday,6.0,9.78,14,10.0,,,,,Moderate,Moderate,0
2012-03-18,Sunday,7.0,9.84,16,61.0,,,,,Rain,Rain,0
2012-03-19,Monday,4.0,8.11,18,,,,,,Unknown,Unknown,0
2012-03-20,Tuesday,7.0,8.09,18,51.0,,,,,Rain,Rain,0
2012-03-21,Wednesday,5.0,12.62,16,,,,,,Unknown,Unknown,0
2012-03-22,Thursday,0.0,12.76,6,2.0,,,,,Good,Good,0
2012-03-23,Friday,0.0,13.49,6,,,,,,Unknown,Unknown,0
2012-03-24,Saturday,5.0,7.84,8,10.0,,,,,Moderate,Moderate,0
2012-03-25,Sunday,0.0,13.14,10,1.0,,,,,Good,Good,0
2012-03-26,Monday,7.0,8.49,8,51.0,,,,,Rain,Rain,0
2012-03-27,Tuesday,4.0,15.5,10,,,,,,Unknown,Unknown,0
2012-03-28,Wednesday,3.0,14.84,18,5.0,,,,,Extreme Weather,Extreme Weather,0
2012-03-29,Thursday,6.0,8.99,19,21.0,,,,,Rain,Rain,0
2012-03-30,Friday,3.0,9.96,18,1.0,,,,,Good,Good,0
2012-03-31,Saturday,4.0,6.11,19,61.0,,,,,Rain,Rain,0
2012-04-01,Sunday,7.0,6.52,19,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-04-02,Monday,7.0,5.59,16,,,,,,Unknown,Unknown,0
2012-04-03,Tuesday,7.0,3.3,10,22.0,,,,,Rain,Rain,0
2012-04-04,Wednesday,7.0,4.59,18,21.0,,,,,Rain,Rain,0
2012-04-05,Thursday,1.0,5.64,10,,,,,,Unknown,Unknown,0
2012-04-06,Friday,7.0,6.2,18,61.0,,,,,Rain,Rain,0
2012-04-07,Saturday,4.0,3.71,19,,,,,,Unknown,Unknown,0
2012-04-08,Sunday,2.0,5.75,10,,,,,,Unknown,Unknown,0
2012-04-09,Monday,8.0,6.51,10,58.0,,,,,Rain,Rain,0
2012-04-10,Tuesday,8.0,10.59,10,61.0,,,,,Rain,Rain,0
2012-04-11,Wednesday,7.0,10.48,12,,,,,,Unknown,Unknown,0
2012-04-12,Thursday,6.0,9.57,12,81.0,,,,,Rain,Rain,0
2012-04-13,Friday,7.0,8.72,10,,,,,,Unknown,Unknown,0
2012-04-14,Saturday,6.0,8.81,8,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-04-15,Sunday,7.0,8.07,10,21.0,,,,,Rain,Rain,0
2012-04-16,Monday,4.0,7.5,16,80.0,,,,,Rain,Rain,0
2012-04-17,Tuesday,5.0,8.04,12,,,,,,Unknown,Unknown,0
2012-04-18,Wednesday,6.0,9.61,10,,,,,,Unknown,Unknown,0
2012-04-19,Thursday,2.0,14.24,14,,,,,,Unknown,Unknown,0
2012-04-20,Friday,6.0,9.22,10,95.0,,,,,Unknown,Unknown,0
2012-04-21,Saturday,6.0,12.2,10,91.0,,,,,Unknown,Unknown,0
2012-04-22,Sunday,6.0,9.99,10,80.0,,,,,Rain,Rain,0
2012-04-23,Monday,6.0,9.95,10,81.0,,,,,Rain,Rain,0
2012-04-24,Tuesday,7.0,10.0,8,61.0,,,,,Rain,Rain,0
2012-04-25,Wednesday,6.0,11.64,12,,,,,,Unknown,Unknown,0
2012-04-26,Thursday,6.0,14.19,14,60.0,,,,,Rain,Rain,0
2012-04-27,Friday,5.0,14.92,12,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-04-28,Saturday,6.0,9.51,18,61.0,,,,,Rain,Rain,0
2012-04-29,Sunday,7.0,11.46,23,,,,,,Unknown,Unknown,0
2012-04-30,Monday,3.0,16.24,8,,,,,,Unknown,Unknown,0
2012-05-01,Tuesday,5.0,13.41,19,,,,,,Unknown,Unknown,0
2012-05-02,Wednesday,1.0,13.45,12,,,,,,Unknown,Unknown,0
2012-05-03,Thursday,6.0,16.6,8,,,,,,Unknown,Unknown,0
2012-05-04,Friday,7.0,12.65,10,80.0,,,,,Rain,Rain,0
2012-05-05,Saturday,2.0,10.5,8,,,,,,Unknown,Unknown,0
2012-05-06,Sunday,5.0,8.6,8,,,,,,Unknown,Unknown,0
2012-05-07,Monday,7.0,7.58,6,61.0,,,,,Rain,Rain,0
2012-05-08,Tuesday,6.0,16.08,8,,,,,,Unknown,Unknown,0
2012-05-09,Wednesday,6.0,16.85,10,81.0,,,,,Rain,Rain,0
2012-05-10,Thursday,7.0,17.85,12,61.0,,,,,Rain,Rain,0
2012-05-11,Friday,5.0,16.52,19,,,,,,Unknown,Unknown,0
2012-05-12,Saturday,5.0,9.39,23,80.0,,,,,Rain,Rain,0
2012-05-13,Sunday,6.0,11.01,10,,,,,,Unknown,Unknown,0
2012-05-14,Monday,6.0,14.52,12,,,,,,Unknown,Unknown,0
2012-05-15,Tuesday,7.0,11.45,10,,,,,,Unknown,Unknown,0
2012-05-16,Wednesday,6.0,8.89,19,80.0,,,,,Rain,Rain,0
2012-05-17,Thursday,4.0,10.81,18,3.0,,,,,Good,Good,0
2012-05-18,Friday,6.0,16.21,10,,,,,,Unknown,Unknown,0
2012-05-19,Saturday,5.0,17.76,6,,,,,,Unknown,Unknown,0
2012-05-20,Sunday,6.0,18.48,10,,,,,,Unknown,Unknown,0
2012-05-21,Monday,5.0,18.51,14,,,,,,Unknown,Unknown,0
2012-05-22,Tuesday,4.0,19.2,12,,,,,,Unknown,Unknown,0
2012-05-23,Wednesday,4.0,18.24,14,,,,,,Unknown,Unknown,0
2012-05-24,Thursday,0.0,18.86,12,,,,,,Unknown,Unknown,0
2012-05-25,Friday,0.0,19.85,10,,,,,,Unknown,Unknown,0
2012-05-26,Saturday,4.0,21.45,8,,,,,,Unknown,Unknown,0
2012-05-27,Sunday,1.0,19.88,10,,,,,,Unknown,Unknown,0
2012-05-28,Monday,2.0,22.84,14,,,,,,Unknown,Unknown,0
2012-05-29,Tuesday,4.0,15.35,12,,,,,,Unknown,Unknown,0
2012-05-30,Wednesday,6.0,12.94,14,,,,,,Unknown,Unknown,0
2012-05-31,Thursday,7.0,13.26,10,61.0,,,,,Rain,Rain,0
2012-06-01,Friday,4.0,12.89,19,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-06-02,Saturday,4.0,12.46,16,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-06-03,Sunday,7.0,12.35,12,,,,,,Unknown,Unknown,0
2012-06-04,Monday,7.0,13.21,14,,,,,,Unknown,Unknown,0
2012-06-05,Tuesday,5.0,13.21,16,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-06-06,Wednesday,7.0,13.84,10,61.0,,,,,Rain,Rain,0
2012-06-07,Thursday,7.0,15.19,10,51.0,,,,,Rain,Rain,0
2012-06-08,Friday,4.0,19.34,12,95.0,,,,,Unknown,Unknown,0
2012-06-09,Saturday,6.0,14.6,14,61.0,,,,,Rain,Rain,0
2012-06-10,Sunday,6.0,15.0,16,51.0,,,,,Rain,Rain,0
2012-06-11,Monday,3.0,16.52,8,,,,,,Unknown,Unknown,0
2012-06-12,Tuesday,7.0,14.11,6,63.0,,,,,Rain,Rain,0
2012-06-13,Wednesday,4.0,15.16,12,,,,,,Unknown,Unknown,0
2012-06-14,Thursday,6.0,14.05,12,,,,,,Unknown,Unknown,0
2012-06-15,Friday,7.0,18.31,8,63.0,,,,,Rain,Rain,0
2012-06-16,Saturday,6.0,18.46,10,25.0,,,,1.0,Extreme Weather,Extreme Weather,0
2012-06-17,Sunday,6.0,16.96,14,25.0,,,,1.0,Extreme Weather,Extreme Weather,0
2012-06-18,Monday,6.0,19.59,19,95.0,,,,1.0,Unknown,Unknown,0
2012-06-19,Tuesday,6.0,17.31,6,,,,,1.0,Unknown,Unknown,0
2012-06-20,Wednesday,6.0,17.65,12,,,,,1.0,Unknown,Unknown,0
2012-06-21,Thursday,4.0,18.51,16,,,,,1.0,Unknown,Unknown,0
2012-06-22,Friday,4.0,18.32,14,29.0,,,,1.0,Cold / Snow,Cold / Snow,0
2012-06-23,Saturday,6.0,16.89,12,80.0,,,,1.0,Rain,Rain,0
2012-06-24,Sunday,8.0,12.88,12,63.0,,,,1.0,Rain,Rain,0
2012-06-25,Monday,6.0,13.89,18,80.0,,,,,Rain,Rain,0
2012-06-26,Tuesday,6.0,14.3,18,20.0,,,,,Moderate,Moderate,0
2012-06-27,Wednesday,8.0,14.56,10,,,,,,Unknown,Unknown,0
2012-06-28,Thursday,6.0,18.26,8,,,,,,Unknown,Unknown,0
2012-06-29,Friday,6.0,22.75,8,95.0,,,,,Unknown,Unknown,0
2012-06-30,Saturday,5.0,23.14,10,,,,,,Unknown,Unknown,0
2012-07-01,Sunday,4.0,19.51,14,,,,,,Unknown,Unknown,0
2012-07-02,Monday,6.0,19.44,10,,,,,,Unknown,Unknown,0
2012-07-03,Tuesday,3.0,20.54,12,,,,,,Unknown,Unknown,0
2012-07-04,Wednesday,5.0,19.95,12,,,,,,Unknown,Unknown,0
2012-07-05,Thursday,7.0,17.26,12,10.0,,,,,Moderate,Moderate,0
2012-07-06,Friday,7.0,18.54,10,60.0,,,,,Rain,Rain,0
2012-07-07,Saturday,7.0,20.79,4,,,,,,Unknown,Unknown,0
2012-07-08,Sunday,5.0,22.98,10,95.0,,,,,Unknown,Unknown,0
2012-07-09,Monday,7.0,16.5,16,61.0,,,,,Rain,Rain,0
2012-07-10,Tuesday,6.0,18.82,14,1.0,,,,,Good,Good,0
2012-07-11,Wednesday,6.0,17.15,14,29.0,,,,,Cold / Snow,Cold / Snow,0
2012-07-12,Thursday,5.0,15.49,14,81.0,,,,,Rain,Rain,0
2012-07-13,Friday,6.0,17.09,6,21.0,,,,,Rain,Rain,0
2012-07-14,Saturday,6.0,17.91,19,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-07-15,Sunday,5.0,16.38,16,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-07-16,Monday,5.0,16.88,16,80.0,,,,,Rain,Rain,0
2012-07-17,Tuesday,5.0,17.14,18,80.0,,,,,Rain,Rain,0
2012-07-18,Wednesday,7.0,16.95,6,63.0,,,,,Rain,Rain,0
2012-07-19,Thursday,7.0,15.81,16,81.0,,,,,Rain,Rain,0
2012-07-20,Friday,6.0,15.25,16,80.0,,,,,Rain,Rain,0
2012-07-21,Saturday,6.0,16.16,16,,,,,,Unknown,Unknown,0
2012-07-22,Sunday,4.0,18.32,12,,,,,,Unknown,Unknown,0
2012-07-23,Monday,2.0,22.48,12,,,,,,Unknown,Unknown,0
2012-07-25,Wednesday,1.0,25.65,8,,,,,,Unknown,Unknown,0
2012-07-26,Thursday,1.0,22.59,8,,,,,,Unknown,Unknown,0
2012-07-27,Friday,1.0,26.08,10,,,,,,Unknown,Unknown,0
2012-07-28,Saturday,7.0,18.95,14,63.0,,,,,Rain,Rain,0
2012-07-29,Sunday,7.0,16.04,8,61.0,,,,,Rain,Rain,0
2012-07-30,Monday,6.0,15.19,10,95.0,,,,,Unknown,Unknown,0
2012-07-31,Tuesday,5.0,17.16,12,,,,,,Unknown,Unknown,0
2012-08-01,Wednesday,6.0,21.06,6,,,,,,Unknown,Unknown,0
2012-08-02,Thursday,6.0,22.72,10,29.0,,,,,Cold / Snow,Cold / Snow,0
2012-08-03,Friday,4.0,20.69,10,91.0,,,,,Unknown,Unknown,0
2012-08-04,Saturday,6.0,18.23,6,61.0,,,,,Rain,Rain,0
2012-08-05,Sunday,6.0,21.61,4,,,,,,Unknown,Unknown,0
2012-08-06,Monday,5.0,19.58,16,80.0,,,,,Rain,Rain,0
2012-08-07,Tuesday,6.0,17.31,14,80.0,,,,,Rain,Rain,0
2012-08-08,Wednesday,4.0,17.9,16,80.0,,,,,Rain,Rain,0
2012-08-09,Thursday,5.0,18.35,12,,,,,,Unknown,Unknown,0
2012-08-10,Friday,6.0,17.3,14,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-08-11,Saturday,2.0,18.85,10,,,,,,Unknown,Unknown,0
2012-08-12,Sunday,1.0,19.79,12,,,,,,Unknown,Unknown,0
2012-08-13,Monday,2.0,20.04,14,,,,,,Unknown,Unknown,0
2012-08-14,Tuesday,2.0,20.16,12,,,,,,Unknown,Unknown,0
2012-08-15,Wednesday,1.0,20.4,14,,,,,,Unknown,Unknown,0
2012-08-16,Thursday,6.0,17.32,10,63.0,,,,,Rain,Rain,0
2012-08-17,Friday,5.0,21.94,8,,,,,,Unknown,Unknown,0
2012-08-18,Saturday,6.0,27.52,8,,,,,,Unknown,Unknown,0
2012-08-19,Sunday,2.0,26.88,8,,,,,,Unknown,Unknown,0
2012-08-20,Monday,3.0,26.15,16,,,,,,Unknown,Unknown,0
2012-08-21,Tuesday,6.0,20.81,6,,,,,,Unknown,Unknown,0
2012-08-22,Wednesday,4.0,20.01,18,,,,,,Unknown,Unknown,0
2012-08-23,Thursday,5.0,19.84,18,80.0,,,,,Rain,Rain,0
2012-08-24,Friday,7.0,16.26,4,61.0,,,,,Rain,Rain,0
2012-08-25,Saturday,6.0,18.86,8,80.0,,,,,Rain,Rain,0
2012-08-26,Sunday,6.0,17.32,14,95.0,,,,,Unknown,Unknown,0
2012-08-27,Monday,2.0,17.86,12,,,,,,Unknown,Unknown,0
2012-08-28,Tuesday,7.0,19.59,8,61.0,,,,,Rain,Rain,0
2012-08-29,Wednesday,4.0,20.66,8,3.0,,,,,Good,Good,0
2012-08-30,Thursday,7.0,19.24,6,,,,,,Unknown,Unknown,0
2012-08-31,Friday,3.0,17.29,14,,,,,,Unknown,Unknown,0
2012-09-01,Saturday,6.0,16.6,12,,,,,,Unknown,Unknown,0
2012-09-02,Sunday,6.0,19.15,14,,,,,,Unknown,Unknown,0
2012-09-03,Monday,4.0,19.48,12,,,,,,Unknown,Unknown,0
2012-09-04,Tuesday,4.0,20.54,14,,,,,,Unknown,Unknown,0
2012-09-05,Wednesday,6.0,17.14,14,80.0,,,,,Rain,Rain,0
2012-09-06,Thursday,7.0,16.11,14,,,,,,Unknown,Unknown,0
2012-09-07,Friday,7.0,16.12,12,58.0,,,,,Rain,Rain,0
2012-09-08,Saturday,5.0,18.46,16,51.0,,,,,Rain,Rain,0
2012-09-09,Sunday,4.0,21.08,6,,,,,,Unknown,Unknown,0
2012-09-10,Monday,4.0,23.12,12,,,,,,Unknown,Unknown,0
2012-09-11,Tuesday,7.0,17.09,12,61.0,,,,,Rain,Rain,0
2012-09-12,Wednesday,4.0,13.96,12,80.0,,,,,Rain,Rain,0
2012-09-13,Thursday,3.0,15.1,8,,,,,,Unknown,Unknown,0
2012-09-14,Friday,8.0,13.71,16,61.0,,,,,Rain,Rain,0
2012-09-15,Saturday,6.0,15.62,18,80.0,,,,,Rain,Rain,0
2012-09-16,Sunday,3.0,18.35,12,,,,,,Unknown,Unknown,0
2012-09-17,Monday,4.0,17.44,14,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-09-18,Tuesday,6.0,15.04,14,80.0,,,,,Rain,Rain,0
2012-09-19,Wednesday,5.0,10.64,16,81.0,,,,,Rain,Rain,0
2012-09-20,Thursday,6.0,11.49,12,80.0,,,,,Rain,Rain,0
2012-09-21,Friday,7.0,14.25,14,21.0,,,,,Rain,Rain,0
2012-09-22,Saturday,5.0,11.5,14,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-09-23,Sunday,4.0,13.65,10,,,,,,Unknown,Unknown,0
2012-09-24,Monday,8.0,10.41,16,61.0,,,,,Rain,Rain,0
2012-09-25,Tuesday,7.0,14.92,10,80.0,,,,,Rain,Rain,0
2012-09-26,Wednesday,7.0,12.56,6,61.0,,,,,Rain,Rain,0
2012-09-27,Thursday,7.0,13.2,10,61.0,,,,,Rain,Rain,0
2012-09-28,Friday,6.0,13.56,12,,,,,,Unknown,Unknown,0
2012-09-29,Saturday,5.0,13.26,16,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-09-30,Sunday,4.0,13.88,14,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-10-01,Monday,7.0,13.86,10,,,,,,Unknown,Unknown,0
2012-10-02,Tuesday,6.0,15.16,10,10.0,,,,,Moderate,Moderate,0
2012-10-03,Wednesday,7.0,14.18,12,65.0,,,,,Extreme Weather,Extreme Weather,0
2012-10-04,Thursday,7.0,10.45,10,80.0,,,,,Rain,Rain,0
2012-10-05,Friday,7.0,9.74,14,61.0,,,,,Rain,Rain,0
2012-10-08,Monday,4.0,12.44,12,80.0,,,,,Rain,Rain,0
2012-10-09,Tuesday,1.0,10.99,19,80.0,,,,,Rain,Rain,0
2012-10-10,Wednesday,5.0,10.1,12,80.0,,,,,Rain,Rain,0
2012-10-11,Thursday,4.0,11.44,6,,,,,,Unknown,Unknown,0
2012-10-12,Friday,6.0,10.14,10,61.0,,,,,Rain,Rain,0
2012-10-15,Monday,6.0,9.59,10,51.0,,,,,Rain,Rain,0
2012-10-16,Tuesday,7.0,10.89,12,61.0,,,,,Rain,Rain,0
2012-10-17,Wednesday,7.0,12.1,12,21.0,,,,,Rain,Rain,0
2012-10-18,Thursday,6.0,16.77,8,,,,,,Unknown,Unknown,0
2012-10-19,Friday,3.0,19.35,6,,,,,,Unknown,Unknown,0
2012-10-22,Monday,8.0,12.68,8,10.0,,,,,Moderate,Moderate,0
2012-10-23,Tuesday,8.0,11.89,8,51.0,,,,,Rain,Rain,0
2012-10-24,Wednesday,8.0,10.99,6,51.0,,,,,Rain,Rain,0
2012-10-25,Thursday,6.0,8.74,16,80.0,,,,,Rain,Rain,0
2012-10-26,Friday,5.0,5.19,8,,,,,,Unknown,Unknown,0
2012-10-29,Monday,8.0,3.62,14,61.0,,,,,Rain,Rain,0
2012-10-30,Tuesday,4.0,7.06,8,25.0,,,,,Extreme Weather,Extreme Weather,0
2012-10-31,Wednesday,6.0,7.95,10,10.0,,,,,Moderate,Moderate,0
2012-11-01,Thursday,7.0,5.81,10,,,,,,Unknown,Unknown,0
2012-11-02,Friday,7.0,7.48,12,21.0,,,,,Rain,Rain,0
2012-11-05,Monday,7.0,6.59,10,61.0,,,,,Rain,Rain,0
2012-11-06,Tuesday,6.0,7.45,14,80.0,,,,,Rain,Rain,0
2012-11-07,Wednesday,7.0,10.3,16,51.0,,,,,Rain,Rain,0
2012-11-08,Thursday,7.0,9.66,16,80.0,,,,,Rain,Rain,0
2012-11-09,Friday,7.0,9.5,8,20.0,,,,,Moderate,Moderate,0
2012-11-12,Monday,6.0,7.31,12,80.0,,,,,Rain,Rain,0
2012-11-13,Tuesday,7.0,7.2,8,10.0,,,,,Moderate,Moderate,0
2012-11-14,Wednesday,8.0,9.66,6,10.0,,,,,Moderate,Moderate,0
2012-11-15,Thursday,7.0,8.71,6,5.0,,,,,Extreme Weather,Extreme Weather,0
2012-11-16,Friday,7.0,-0.28,6,10.0,,,,,Moderate,Moderate,0
2012-11-19,Monday,3.0,6.12,8,3.0,,,,,Good,Good,0
2012-11-20,Tuesday,6.0,7.68,8,10.0,,,,,Moderate,Moderate,0
2012-11-21,Wednesday,8.0,6.19,12,10.0,,,,,Moderate,Moderate,0
2012-11-22,Thursday,4.0,9.1,14,3.0,,,,,Good,Good,0
2012-11-23,Friday,7.0,6.7,10,61.0,,,,,Rain,Rain,0
2012-11-26,Monday,6.0,8.16,10,,,,,,Unknown,Unknown,0
2012-11-27,Tuesday,7.0,7.62,8,20.0,,,,,Moderate,Moderate,0
2012-11-28,Wednesday,8.0,5.32,8,51.0,,,,,Rain,Rain,0
2012-11-29,Thursday,7.0,3.46,14,61.0,,,,,Rain,Rain,0
2012-11-30,Friday,2.0,0.72,10,,,,,,Unknown,Unknown,0
2012-12-03,Monday,8.0,1.03,8,10.0,,,,,Moderate,Moderate,0
2012-12-04,Tuesday,7.0,1.38,8,69.0,,,,,Cold / Snow,Cold / Snow,0
2012-12-05,Wednesday,2.0,-4.79,10,,,,,,Unknown,Unknown,0
2012-12-06,Thursday,1.0,-4.45,8,,,,,,Unknown,Unknown,0
2012-12-07,Friday,4.0,-1.79,8,10.0,,,,,Moderate,Moderate,0
2012-12-10,Monday,8.0,0.19,18,71.0,,,,,Cold / Snow,Cold / Snow,0
2012-12-11,Tuesday,6.0,-1.86,14,,,,,,Unknown,Unknown,0
2012-12-12,Wednesday,3.0,-5.74,4,10.0,,,,,Moderate,Moderate,0
2012-12-13,Thursday,7.0,-2.06,4,78.0,,,,,Extreme Weather,Extreme Weather,0
2012-12-14,Friday,7.0,-2.69,10,10.0,,,,,Moderate,Moderate,0
2012-12-17,Monday,8.0,4.19,4,47.0,,,,,Extreme Weather,Extreme Weather,0
2012-12-18,Tuesday,8.0,3.64,10,61.0,,,,,Rain,Rain,0
2012-12-19,Wednesday,7.0,2.86,6,20.0,,,,,Moderate,Moderate,0
2012-12-20,Thursday,7.0,2.09,12,5.0,,,,,Extreme Weather,Extreme Weather,0
2012-12-21,Friday,7.0,-0.21,10,13.0,,,,,Unknown,Unknown,0
2013-04-30,Tuesday,3.0,11.12,15,0.0,,,,,Very Good,Very Good,0
2013-05-01,Wednesday,0.0,9.9,11,,,,,,Unknown,Unknown,0
2013-05-02,Thursday,1.0,11.04,12,,,,,,Unknown,Unknown,0
2013-05-03,Friday,0.0,12.91,9,,,,,,Unknown,Unknown,0
