Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Warengruppe,Umsatz,KielerWoche
2012-05-28,2.0,22.8375,14,,,,,
2012-05-29,4.0,15.35,12,,,,,
2012-05-30,6.0,12.9375,14,,,,,
2012-05-31,7.0,13.2625,10,61.0,,,,
2012-06-01,4.0,12.8875,19,25.0,,,,
2012-06-02,4.0,12.4625,16,25.0,,,,
2012-06-03,7.0,12.35,12,,,,,
2012-06-04,7.0,13.2125,14,,,,,
2012-06-05,5.0,13.2125,16,25.0,,,,
2012-06-06,7.0,13.8375,10,61.0,,,,
2012-06-07,7.0,15.1875,10,51.0,,,,
2012-06-08,4.0,19.3375,12,95.0,,,,
2012-06-09,6.0,14.6,14,61.0,,,,
2012-06-10,6.0,15.0,16,51.0,,,,
2012-06-11,3.0,16.525,8,,,,,
2012-06-12,7.0,14.1125,6,63.0,,,,
2012-06-13,4.0,15.1625,12,,,,,
2012-06-14,6.0,14.05,12,,,,,
2012-06-15,7.0,18.3125,8,63.0,,,,
2012-06-16,6.0,18.4625,10,25.0,,,,1.0
2012-06-17,6.0,16.9625,14,25.0,,,,1.0
2012-06-18,6.0,19.5875,19,95.0,,,,1.0
2012-06-19,6.0,17.3125,6,,,,,1.0
2012-06-20,6.0,17.65,12,,,,,1.0
2012-06-21,4.0,18.5125,16,,,,,1.0
2012-06-22,4.0,18.325,14,29.0,,,,1.0
2012-06-23,6.0,16.8875,12,80.0,,,,1.0
2012-06-24,8.0,12.875,12,63.0,,,,1.0
2012-06-25,6.0,13.8875,18,80.0,,,,
2012-06-26,6.0,14.3,18,20.0,,,,
2012-06-27,8.0,14.5625,10,,,,,
2012-06-28,6.0,18.2625,8,,,,,
2012-06-29,6.0,22.75,8,95.0,,,,
2012-06-30,5.0,23.1375,10,,,,,
2012-07-01,4.0,19.5125,14,,,,,
2012-07-02,6.0,19.4375,10,,,,,
2012-07-03,3.0,20.5375,12,,,,,
2012-07-04,5.0,19.95,12,,,,,
2012-07-05,7.0,17.2625,12,10.0,,,,
2012-07-06,7.0,18.5375,10,60.0,,,,
2012-07-07,7.0,20.7875,4,,,,,
2012-07-08,5.0,22.975,10,95.0,,,,
2012-07-09,7.0,16.5,16,61.0,,,,
2012-07-10,6.0,18.825,14,1.0,,,,
2012-07-11,6.0,17.15,14,29.0,,,,
2012-07-12,5.0,15.4875,14,81.0,,,,
2012-07-13,6.0,17.0875,6,21.0,,,,
2012-07-14,6.0,17.9125,19,25.0,,,,
2012-07-15,5.0,16.375,16,25.0,,,,
2012-07-16,5.0,16.875,16,80.0,,,,
2012-07-17,5.0,17.1375,18,80.0,,,,
2012-07-18,7.0,16.95,6,63.0,,,,
2012-07-19,7.0,15.8125,16,81.0,,,,
2012-07-20,6.0,15.25,16,80.0,,,,
2012-07-21,6.0,16.1625,16,,,,,
2012-07-22,4.0,18.325,12,,,,,
2012-07-23,2.0,22.483333,12,,,,,
2012-07-25,1.0,25.65,8,,,,,
2012-07-26,1.0,22.5875,8,,,,,
2012-07-27,1.0,26.075,10,,,,,
2012-07-28,7.0,18.95,14,63.0,,,,
2012-07-29,7.0,16.0375,8,61.0,,,,
2012-07-30,6.0,15.1875,10,95.0,,,,
2012-07-31,5.0,17.1625,12,,,,,
2012-08-01,6.0,21.0625,6,,,,,
2012-08-02,6.0,22.725,10,29.0,,,,
2012-08-03,4.0,20.6875,10,91.0,,,,
2012-08-04,6.0,18.225,6,61.0,,,,
2012-08-05,6.0,21.6125,4,,,,,
2012-08-06,5.0,19.575,16,80.0,,,,
2012-08-07,6.0,17.3125,14,80.0,,,,
2012-08-08,4.0,17.9,16,80.0,,,,
2012-08-09,5.0,18.35,12,,,,,
2012-08-10,6.0,17.3,14,25.0,,,,
2012-08-11,2.0,18.85,10,,,,,
2012-08-12,1.0,19.7875,12,,,,,
2012-08-13,2.0,20.0375,14,,,,,
2012-08-14,2.0,20.1625,12,,,,,
2012-08-15,1.0,20.4,14,,,,,
2012-08-16,6.0,17.325,10,63.0,,,,
2012-08-17,5.0,21.9375,8,,,,,
2012-08-18,6.0,27.525,8,,,,,
2012-08-19,2.0,26.875,8,,,,,
2012-08-20,3.0,26.15,16,,,,,
2012-08-21,6.0,20.8125,6,,,,,
2012-08-22,4.0,20.0125,18,,,,,
2012-08-23,5.0,19.8375,18,80.0,,,,
2012-08-24,7.0,16.2625,4,61.0,,,,
2012-08-25,6.0,18.8625,8,80.0,,,,
2012-08-26,6.0,17.325,14,95.0,,,,
2012-08-27,2.0,17.8625,12,,,,,
2012-08-28,7.0,19.5875,8,61.0,,,,
2012-08-29,4.0,20.6625,8,3.0,,,,
2012-08-30,7.0,19.2375,6,,,,,
2012-08-31,3.0,17.2875,14,,,,,
2012-09-01,6.0,16.6,12,,,,,
2012-09-02,6.0,19.15,14,,,,,
2012-09-03,4.0,19.475,12,,,,,
2012-09-04,4.0,20.5375,14,,,,,
2012-09-05,6.0,17.1375,14,80.0,,,,
2012-09-06,7.0,16.1125,14,,,,,
2012-09-07,7.0,16.125,12,58.0,,,,
2012-09-08,5.0,18.4625,16,51.0,,,,
2012-09-09,4.0,21.075,6,,,,,
2012-09-10,4.0,23.125,12,,,,,
2012-09-11,7.0,17.0875,12,61.0,,,,
2012-09-12,4.0,13.9625,12,80.0,,,,
2012-09-13,3.0,15.1,8,,,,,
2012-09-14,8.0,13.7125,16,61.0,,,,
2012-09-15,6.0,15.625,18,80.0,,,,
2012-09-16,3.0,18.35,12,,,,,
2012-09-17,4.0,17.4375,14,25.0,,,,
2012-09-18,6.0,15.0375,14,80.0,,,,
2012-09-19,5.0,10.6375,16,81.0,,,,
2012-09-20,6.0,11.4875,12,80.0,,,,
2012-09-21,7.0,14.25,14,21.0,,,,
2012-09-22,5.0,11.5,14,25.0,,,,
2012-09-23,4.0,13.65,10,,,,,
2012-09-24,8.0,10.4125,16,61.0,,,,
2012-09-25,7.0,14.925,10,80.0,,,,
2012-09-26,7.0,12.5625,6,61.0,,,,
2012-09-27,7.0,13.2,10,61.0,,,,
2012-09-28,6.0,13.5625,12,,,,,
2012-09-29,5.0,13.2625,16,25.0,,,,
2012-09-30,4.0,13.875,14,25.0,,,,
2012-10-01,7.0,13.8625,10,,,,,
2012-10-02,6.0,15.1625,10,10.0,,,,
2012-10-03,7.0,14.175,12,65.0,,,,
2012-10-04,7.0,10.45,10,80.0,,,,
2012-10-05,7.0,9.7375,14,61.0,,,,
2012-10-08,4.0,12.4375,12,80.0,,,,
2012-10-09,1.0,10.9875,19,80.0,,,,
2012-10-10,5.0,10.1,12,80.0,,,,
2012-10-11,4.0,11.4375,6,,,,,
2012-10-12,6.0,10.1375,10,61.0,,,,
2012-10-15,6.0,9.5875,10,51.0,,,,
2012-10-16,7.0,10.8875,12,61.0,,,,
2012-10-17,7.0,12.1,12,21.0,,,,
2012-10-18,6.0,16.775,8,,,,,
2012-10-19,3.0,19.35,6,,,,,
2012-10-22,8.0,12.675,8,10.0,,,,
2012-10-23,8.0,11.8875,8,51.0,,,,
2012-10-24,8.0,10.9875,6,51.0,,,,
2012-10-25,6.0,8.7375,16,80.0,,,,
2012-10-26,5.0,5.1875,8,,,,,
2012-10-29,8.0,3.625,14,61.0,,,,
2012-10-30,4.0,7.0625,8,25.0,,,,
2012-10-31,6.0,7.95,10,10.0,,,,
2012-11-01,7.0,5.8125,10,,,,,
2012-11-02,7.0,7.475,12,21.0,,,,
2012-11-05,7.0,6.5875,10,61.0,,,,
2012-11-06,6.0,7.45,14,80.0,,,,
2012-11-07,7.0,10.3,16,51.0,,,,
2012-11-08,7.0,9.6625,16,80.0,,,,
2012-11-09,7.0,9.5,8,20.0,,,,
2012-11-12,6.0,7.3125,12,80.0,,,,
2012-11-13,7.0,7.2,8,10.0,,,,
2012-11-14,8.0,9.6625,6,10.0,,,,
2012-11-15,7.0,8.7125,6,5.0,,,,
2012-11-16,7.0,-0.275,6,10.0,,,,
2012-11-19,3.0,6.125,8,3.0,,,,
2012-11-20,6.0,7.675,8,10.0,,,,
2012-11-21,8.0,6.1875,12,10.0,,,,
2012-11-22,4.0,9.1,14,3.0,,,,
2012-11-23,7.0,6.7,10,61.0,,,,
2012-11-26,6.0,8.1625,10,,,,,
2012-11-27,7.0,7.625,8,20.0,,,,
2012-11-28,8.0,5.325,8,51.0,,,,
2012-11-29,7.0,3.4625,14,61.0,,,,
2012-11-30,2.0,0.725,10,,,,,
2012-12-03,8.0,1.033333,8,10.0,,,,
2012-12-04,7.0,1.375,8,69.0,,,,
2012-12-05,2.0,-4.7875,10,,,,,
2012-12-06,1.0,-4.45,8,,,,,
2012-12-07,4.0,-1.7875,8,10.0,,,,
2012-12-10,8.0,0.1875,18,71.0,,,,
2012-12-11,6.0,-1.8625,14,,,,,
2012-12-12,3.0,-5.7375,4,10.0,,,,
2012-12-13,7.0,-2.0625,4,78.0,,,,
2012-12-14,7.0,-2.6875,10,10.0,,,,
2012-12-17,8.0,4.1875,4,47.0,,,,
2012-12-18,8.0,3.6375,10,61.0,,,,
2012-12-19,7.0,2.8625,6,20.0,,,,
2012-12-20,7.0,2.0875,12,5.0,,,,
2012-12-21,7.0,-0.2125,10,13.0,,,,
2013-04-30,3.0,11.116666,15,0.0,,,,
2013-05-01,0.0,9.9,11,,,,,
2013-05-02,1.0,11.0375,12,,,,,
2013-05-03,0.0,12.9125,9,,,,,
2013-05-04,0.0,17.95,18,,,,,
2013-05-05,3.0,16.2125,10,,,,,
2013-05-06,0.0,15.675,8,,,,,
2013-05-07,1.0,17.4125,10,21.0,,,,
2013-05-08,4.0,18.8125,9,21.0,,,,
2013-05-09,7.0,16.125,11,21.0,,,,
2013-05-10,5.0,15.5,12,21.0,,,,
2013-05-11,7.0,15.4125,11,,,,,
2013-05-12,7.0,11.7125,12,61.0,,,,
2013-05-13,7.0,11.4375,10,65.0,,,,
2013-05-14,5.0,12.6,10,21.0,,,,
2013-05-15,4.0,20.5375,10,61.0,,,,
2013-05-16,0.0,16.1625,13,5.0,,,,
2013-05-17,0.0,21.3125,11,5.0,,,,
2013-05-18,7.0,13.85,12,10.0,,,,
2013-05-19,8.0,13.05,5,20.0,,,,
2013-05-20,7.0,15.775,8,21.0,,,,
2013-05-21,7.0,12.525,9,65.0,,,,
2013-05-22,7.0,9.0625,23,63.0,,,,
2013-05-23,5.0,10.525,8,61.0,,,,
2013-05-24,5.0,12.5,8,61.0,,,,
2013-05-25,7.0,11.3375,11,63.0,,,,
2013-05-26,7.0,14.1625,15,63.0,,,,
2013-05-27,6.0,14.7875,10,,,,,
2013-05-28,6.0,15.4,10,20.0,,,,
2013-05-29,7.0,13.6625,14,61.0,,,,
2013-05-30,4.0,16.125,11,21.0,,,,
2013-05-31,3.0,17.65,12,,,,,
2013-06-01,3.0,20.3875,10,21.0,,,,
2013-06-02,2.0,14.975,18,,,,,
2013-06-03,0.0,17.35,13,,,,,
2013-06-04,3.0,17.1625,15,,,,,
2013-06-05,4.0,19.0875,9,,,,,
2013-06-06,0.0,20.85,12,,,,,
2013-06-07,0.0,19.7,8,,,,,
2013-06-08,1.0,16.9625,9,,,,,
2013-06-09,4.0,15.8875,7,,,,,
2013-06-10,2.0,17.725,8,0.0,,,,
2013-06-11,2.0,16.6625,9,,,,,
2013-06-12,5.0,22.35,7,,,,,
2013-06-14,2.0,16.7125,16,0.0,,,,
2013-06-15,6.0,17.0875,27,61.0,,,,
2013-06-16,7.0,15.5875,16,21.0,,,,
2013-06-17,0.0,17.9,8,,,,,
2013-06-18,1.0,20.05,10,0.0,,,,
2013-06-19,6.0,23.5375,10,63.0,,,,
2013-06-20,2.0,21.8375,10,,,,,
2013-06-21,7.0,19.575,14,63.0,,,,
2013-06-22,6.0,19.7375,10,,,,,1.0
2013-06-23,6.0,17.5375,10,21.0,,,,1.0
2013-06-24,7.0,15.95,12,63.0,,,,1.0
2013-06-25,7.0,15.175,10,21.0,,,,1.0
2013-06-26,7.0,13.825,18,61.0,,,,1.0
2013-06-27,7.0,12.55,10,61.0,,,,1.0
2013-06-28,7.0,13.05,10,61.0,,,,1.0
2013-06-29,6.0,14.8375,16,61.0,,,,1.0
2013-06-30,7.0,14.0125,15,63.0,,,,1.0
2013-07-01,6.0,17.8375,15,20.0,1307011.0,1.0,148.828353112183,
2013-07-01,6.0,17.8375,15,20.0,1307012.0,2.0,535.856284785361,
2013-07-01,6.0,17.8375,15,20.0,1307013.0,3.0,201.198425690037,
2013-07-01,6.0,17.8375,15,20.0,1307014.0,4.0,65.890168799361,
2013-07-01,6.0,17.8375,15,20.0,1307015.0,5.0,317.475874933038,
2013-07-02,3.0,17.3125,10,,1307021.0,1.0,159.79375714468,
2013-07-02,3.0,17.3125,10,,1307022.0,2.0,546.780787392297,
2013-07-02,3.0,17.3125,10,,1307023.0,3.0,265.261253994438,
2013-07-02,3.0,17.3125,10,,1307024.0,4.0,74.5439171827412,
2013-07-02,3.0,17.3125,10,,1307025.0,5.0,383.628681612577,
2013-07-03,7.0,21.075,6,61.0,1307031.0,1.0,111.885593514353,
2013-07-03,7.0,21.075,6,61.0,1307032.0,2.0,427.343258749983,
2013-07-03,7.0,21.075,6,61.0,1307033.0,3.0,210.260241465493,
2013-07-03,7.0,21.075,6,61.0,1307034.0,4.0,69.2627280649987,
2013-07-03,7.0,21.075,6,61.0,1307035.0,5.0,305.523072325318,
2013-07-04,7.0,18.85,7,20.0,1307041.0,1.0,168.864940979931,
2013-07-04,7.0,18.85,7,20.0,1307042.0,2.0,454.859641347987,
2013-07-04,7.0,18.85,7,20.0,1307043.0,3.0,190.686641378586,
2013-07-04,7.0,18.85,7,20.0,1307044.0,4.0,61.490175369225,
2013-07-04,7.0,18.85,7,20.0,1307045.0,5.0,308.408167942149,
2013-07-05,5.0,19.975,12,,1307051.0,1.0,171.280754117955,
2013-07-05,5.0,19.975,12,,1307052.0,2.0,492.818804066088,
2013-07-05,5.0,19.975,12,,1307053.0,3.0,181.644870215041,
2013-07-05,5.0,19.975,12,,1307054.0,4.0,86.7598614451924,
2013-07-05,5.0,19.975,12,,1307055.0,5.0,355.518770367742,
2013-07-06,0.0,18.9625,8,,1307061.0,1.0,174.552359998476,
2013-07-06,0.0,18.9625,8,,1307062.0,2.0,631.906068038484,
2013-07-06,0.0,18.9625,8,,1307063.0,3.0,291.557959835153,
2013-07-06,0.0,18.9625,8,,1307064.0,4.0,80.6465768881107,
2013-07-06,0.0,18.9625,8,,1307065.0,5.0,361.866932797941,
2013-07-07,0.0,21.375,9,,1307071.0,1.0,92.6377553788373,
2013-07-07,0.0,21.375,9,,1307072.0,2.0,695.25572963054,
2013-07-07,0.0,21.375,9,,1307073.0,3.0,279.665938833443,
2013-07-07,0.0,21.375,9,,1307074.0,4.0,94.6039024817053,
2013-07-07,0.0,21.375,9,,1307075.0,5.0,370.20960108863,
2013-07-08,0.0,22.725,10,5.0,1307081.0,1.0,135.500244042392,
2013-07-08,0.0,22.725,10,5.0,1307082.0,2.0,538.529249911711,
2013-07-08,0.0,22.725,10,5.0,1307083.0,3.0,195.158794309303,
2013-07-08,0.0,22.725,10,5.0,1307084.0,4.0,49.5000238633042,
2013-07-08,0.0,22.725,10,5.0,1307085.0,5.0,285.233382496522,
2013-07-09,0.0,23.275,8,,1307091.0,1.0,136.048382778344,
2013-07-09,0.0,23.275,8,,1307092.0,2.0,585.957264698849,
2013-07-09,0.0,23.275,8,,1307093.0,3.0,245.808338509722,
2013-07-09,0.0,23.275,8,,1307094.0,4.0,75.2089975834558,
2013-07-09,0.0,23.275,8,,1307095.0,5.0,342.089345776475,
2013-07-10,2.0,19.6875,13,5.0,1307101.0,1.0,135.132314289581,
2013-07-10,2.0,19.6875,13,5.0,1307102.0,2.0,567.365764527953,
2013-07-10,2.0,19.6875,13,5.0,1307103.0,3.0,265.109142544045,
2013-07-10,2.0,19.6875,13,5.0,1307104.0,4.0,73.8056511129258,
2013-07-10,2.0,19.6875,13,5.0,1307105.0,5.0,343.353066508123,
2013-07-11,0.0,21.375,12,5.0,1307111.0,1.0,138.549392636714,
2013-07-11,0.0,21.375,12,5.0,1307112.0,2.0,569.109374584873,
2013-07-11,0.0,21.375,12,5.0,1307113.0,3.0,234.65807920749,
2013-07-11,0.0,21.375,12,5.0,1307114.0,4.0,68.6330279122302,
2013-07-11,0.0,21.375,12,5.0,1307115.0,5.0,315.911756962233,
2013-07-12,0.0,20.2875,7,,1307121.0,1.0,101.447511461298,
2013-07-12,0.0,20.2875,7,,1307122.0,2.0,600.267914678783,
2013-07-12,0.0,20.2875,7,,1307123.0,3.0,290.199097765019,
2013-07-12,0.0,20.2875,7,,1307125.0,5.0,362.802489634211,
2013-07-13,1.0,20.125,12,,1307131.0,1.0,141.233309883732,
2013-07-13,1.0,20.125,12,,1307132.0,2.0,747.140776382576,
2013-07-13,1.0,20.125,12,,1307133.0,3.0,340.046632736531,
2013-07-13,1.0,20.125,12,,1307134.0,4.0,74.2744737887665,
2013-07-13,1.0,20.125,12,,1307135.0,5.0,359.166188843392,
2013-07-14,5.0,17.6875,15,5.0,1307141.0,1.0,112.524365708762,
2013-07-14,5.0,17.6875,15,5.0,1307142.0,2.0,777.048841669282,
2013-07-14,5.0,17.6875,15,5.0,1307143.0,3.0,320.626816189556,
2013-07-14,5.0,17.6875,15,5.0,1307144.0,4.0,115.271617188867,
2013-07-14,5.0,17.6875,15,5.0,1307145.0,5.0,461.082124524619,
2013-07-15,6.0,18.7375,12,,1307151.0,1.0,161.264677322182,
2013-07-15,6.0,18.7375,12,,1307152.0,2.0,596.995099998235,
2013-07-15,6.0,18.7375,12,,1307153.0,3.0,243.526401440661,
2013-07-15,6.0,18.7375,12,,1307154.0,4.0,99.4935305857439,
2013-07-15,6.0,18.7375,12,,1307155.0,5.0,380.68369651152,
2013-07-16,1.0,21.1875,10,,1307161.0,1.0,116.821358174215,
2013-07-16,1.0,21.1875,10,,1307162.0,2.0,558.797138274201,
2013-07-16,1.0,21.1875,10,,1307163.0,3.0,287.415464972525,
2013-07-16,1.0,21.1875,10,,1307164.0,4.0,91.7796976081033,
2013-07-16,1.0,21.1875,10,,1307165.0,5.0,320.43533597922,
2013-07-17,5.0,22.5125,8,,1307171.0,1.0,150.572919592838,
2013-07-17,5.0,22.5125,8,,1307172.0,2.0,628.325718978073,
2013-07-17,5.0,22.5125,8,,1307173.0,3.0,301.777437970497,
2013-07-17,5.0,22.5125,8,,1307175.0,5.0,396.99424714406,
2013-07-18,1.0,23.25,11,5.0,1307181.0,1.0,101.90072129658,
2013-07-18,1.0,23.25,11,5.0,1307182.0,2.0,647.822253705942,
2013-07-18,1.0,23.25,11,5.0,1307183.0,3.0,250.426586853024,
2013-07-18,1.0,23.25,11,5.0,1307184.0,4.0,89.2058404577425,
2013-07-18,1.0,23.25,11,5.0,1307185.0,5.0,300.398790118057,
2013-07-19,3.0,22.475,16,5.0,1307191.0,1.0,161.63511518654,
2013-07-19,3.0,22.475,16,5.0,1307192.0,2.0,646.788959790823,
2013-07-19,3.0,22.475,16,5.0,1307193.0,3.0,287.18828629416,
2013-07-19,3.0,22.475,16,5.0,1307194.0,4.0,62.0636098816993,
2013-07-19,3.0,22.475,16,5.0,1307195.0,5.0,369.400389277533,
2013-07-20,0.0,23.1875,8,,1307201.0,1.0,134.328076682024,
2013-07-20,0.0,23.1875,8,,1307202.0,2.0,843.051280035386,
2013-07-20,0.0,23.1875,8,,1307203.0,3.0,394.765674710477,
2013-07-20,0.0,23.1875,8,,1307204.0,4.0,69.9369965472912,
2013-07-20,0.0,23.1875,8,,1307205.0,5.0,346.154004294146,
2013-07-21,0.0,26.375,8,,1307211.0,1.0,66.2887578161955,
2013-07-21,0.0,26.375,8,,1307212.0,2.0,815.942264195776,
2013-07-21,0.0,26.375,8,,1307213.0,3.0,346.658236387984,
2013-07-21,0.0,26.375,8,,1307214.0,4.0,82.6826868784511,
2013-07-21,0.0,26.375,8,,1307215.0,5.0,287.443788531561,
2013-07-22,0.0,26.1,9,,1307221.0,1.0,131.223948997842,
2013-07-22,0.0,26.1,9,,1307222.0,2.0,647.682748973215,
2013-07-22,0.0,26.1,9,,1307223.0,3.0,297.712614415266,
2013-07-22,0.0,26.1,9,,1307224.0,4.0,99.3353908053911,
2013-07-22,0.0,26.1,9,,1307225.0,5.0,356.484067206325,
2013-07-23,0.0,24.95,12,,1307231.0,1.0,110.315246796665,
2013-07-23,0.0,24.95,12,,1307232.0,2.0,691.043662205889,
